route,eps,min_samples,metric,max_samples,embedding_dim,sample_count,cluster_count_excluding_noise,noise_count,noise_rate,largest_cluster_size,largest_cluster_rate,adjusted_rand_index_non_noise,normalized_mutual_info_non_noise,elapsed_seconds
hog,0.12,4,cosine,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,2.2895549996756017
hog,0.16,4,cosine,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,2.8392819170840085
hog,0.2,4,cosine,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,3.2248545000329614
hog,0.24,4,cosine,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,2.889176500029862
hog,0.28,4,cosine,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,2.9845997081138194
hog,0.32,4,cosine,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,2.9097245829179883
hog,0.36,4,cosine,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,3.0240002078935504
hog,0.4,4,cosine,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,3.0668966667726636
hog,0.44,4,cosine,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,3.018359750043601
hog,0.48,4,cosine,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,3.0258123339153826
hog,0.52,4,cosine,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,3.0168634997680783
