route,eps,min_samples,metric,max_samples,embedding_dim,sample_count,cluster_count_excluding_noise,noise_count,noise_rate,largest_cluster_size,largest_cluster_rate,adjusted_rand_index_non_noise,normalized_mutual_info_non_noise,elapsed_seconds
insightface,0.3,4,cosine,20000,512,20000,342,18460,0.923,8,0.0004,0.9780114329458808,0.9958743528477748,1.432513500098139
insightface,0.34,4,cosine,20000,512,20000,603,17247,0.86235,8,0.0004,0.9773339279771431,0.996171311318274,1.4223096668720245
insightface,0.38,4,cosine,20000,512,20000,869,15995,0.79975,10,0.0005,0.9751714287938154,0.9960799357860759,1.3908325829543173
insightface,0.42,4,cosine,20000,512,20000,1128,14749,0.73745,10,0.0005,0.9717564810102998,0.9957700253608275,1.3958773748017848
insightface,0.45,4,cosine,20000,512,20000,1291,13964,0.6982,11,0.00055,0.9726120484967813,0.9960312943786157,1.4418811658397317
insightface,0.48,4,cosine,20000,512,20000,1412,13379,0.66895,11,0.00055,0.9702113292672647,0.9957514633787043,1.391962416935712
insightface,0.52,4,cosine,20000,512,20000,1532,12801,0.64005,12,0.0006,0.9705919898088947,0.9958630688649859,1.3893749173730612
insightface,0.56,4,cosine,20000,512,20000,1607,12437,0.62185,13,0.00065,0.9682715326013277,0.9956627222004825,1.458331041969359
insightface,0.6,4,cosine,20000,512,20000,1649,12174,0.6087,13,0.00065,0.9562312534627647,0.994397791484072,1.415591666009277
insightface,0.64,4,cosine,20000,512,20000,1662,11547,0.57735,22,0.0011,0.8444836409970224,0.9845716231546421,1.39020024985075
insightface,0.68,4,cosine,20000,512,20000,1341,9280,0.464,3091,0.15455,0.006317160050404554,0.8288724142026341,1.40971504105255
insightface,0.72,4,cosine,20000,512,20000,523,4535,0.22675,12354,0.6177,0.00018815853689853522,0.3390837463239394,1.3888018340803683
insightface,0.76,4,cosine,20000,512,20000,17,724,0.0362,19201,0.96005,1.870259790946298e-06,0.008174583586368522,1.3855534167960286
insightface,0.8,4,cosine,20000,512,20000,1,4,0.0002,19996,0.9998,0.0,0.0,1.4024996659718454
